,Brands,Models,Prices,Storage(GB),RAM,RAM Type,Size,Processor,Operating System,Warranty,Ratings
83,Lenovo,Lenovo IdeaPad Gaming ,53990.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,2.0,4.2
84,Lenovo,Lenovo IdeaPad ,37990.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.3
85,Lenovo,Lenovo IdeaPad Flex 5 ,58990.0,512,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2.0,4.4
86,MSI,MSI Pulse GL66 ,109990.0,1000,16,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,2.0,4.5
87,Lenovo,Lenovo ,34490.0,512,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,2.0,4.2
88,Lenovo,Lenovo IdeaPad 3 ,55490.0,512,8,DDR4,15.6,Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1.0,4.2
89,DELL,DELL Inspiron ,33090.0,256,8,DDR4,15.6,Intel Pentium Silver Processor,64 bit Windows 11 ,1.0,4.5
90,APPLE,APPLE MacBook Air ,104990.0,512,8,DDR4,13.3,Apple M1 Processor,Mac OS ,1.0,4.3
91,Lenovo,Lenovo Legion 5 ,133999.0,512,16,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.1
92,HP,HP ,53990.0,512,8,DDR4,15.6,Intel Core i5 Processor (12th Gen),Windows 11 ,1.0,4.7
93,ASUS,ASUS VivoBook K15 OLED (2022) ,53990.0,1000,8,DDR4,15.6,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1.0,4.2
94,APPLE,APPLE MacBook Air ,104990.0,256,16,DDR4,13.3,Apple M1 Processor,Mac OS ,1.0,3.9
95,Lenovo,Lenovo IdeaPad ,57990.0,512,8,DDR4,15.6,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.4
96,ASUS,ASUS VivoBook 15 (2022) ,31990.0,256,4,DDR4,15.6,Intel Core i3 Processor (11th Gen),Windows 10 ,1.0,4.7
97,ASUS,ASUS VivoBook 15 (2022) ,43990.0,512,8,DDR4,15.6,Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1.0,4.3
98,acer,acer Nitro 5 ,94990.0,1000,16,DDR4,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1.0,4.2
99,HP,HP Pavilion x360 ,48990.0,256,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.2
100,ASUS,ASUS ,33490.0,256,8,DDR4,15.6,AMD Ryzen 3 Quad Core Processor,Windows 11 ,1.0,4.7
101,HP,HP Pavilion Gaming ,65000.0,1000,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,4.2
102,ASUS,ASUS VivoBook K15 OLED (2022) ,40990.0,256,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
103,HP,HP 14s ,49990.0,512,8,DDR4,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1.0,4.2
104,acer,acer Swift 3 ,49990.0,512,8,LPDDR4X,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.4
105,ASUS,ASUS (2022) ,22990.0,128,4,DDR4,11.6,Intel Celeron Dual Core Processor,64 bit Windows 11 ,1.0,4.5
106,DELL,DELL Vostro ,40790.0,1000,4,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,3.8
107,ASUS,ASUS TUF Gaming F17 (2022) ,89990.0,512,16,DDR5,17.3,Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1.0,4.3
108,Infinix,Infinix X1 Slim Series ,39990.0,512,8,LPDDR4X,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1.0,4.5
109,Lenovo,Lenovo IdeaPad Slim 3i (2021) ,37990.0,256,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,4.2
110,DELL,DELL Vostro ,57990.0,512,8,DDR4,14.0,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,4.5
111,ASUS,ASUS ,39990.0,512,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.7
112,HP,HP Pavilion ,56490.0,512,8,DDR4,15.6,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1.0,4.2
113,ASUS,ASUS ROG Flow X13 (2021) ,99990.0,1000,16,LPDDR4X,13.4,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 ,1.0,4.4
114,HP,HP Pavilion Gaming ,70990.0,1000,16,DDR4,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1.0,4.5
115,acer,acer ,29890.0,256,8,DDR4,14.0,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1.0,4.5
116,ASUS,ASUS VivoBook 14 ,28990.0,256,4,DDR4,14.0,Intel Pentium Silver Processor,64 bit Windows 11 ,2.0,4.2
117,ASUS,ASUS VivoBook 15 ,25990.0,256,4,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1.0,4.3
