,Brands,Models,Prices,Storage(GB),RAM,RAM Type,Size,Processor,Operating System,Warranty,Ratings
384,Infinix,Infinix X1 Slim Series ,44990.0,128,16,LPDDR4X,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,2.0,3.8
385,APPLE,APPLE 2022 MacBook AIR ,149900.0,1000,8,Unified,13.6,Apple M2 Processor,Mac OS ,1.0,3.9
386,HP,HP OMEN ,121990.0,512,16,DDR4,16.1,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 ,1.0,4.2
387,Avita,Avita SATUS ULTIMUS S111 ,21490.0,512,4,DDR4,14.1,Intel Celeron Dual Core Processor,64 bit Windows 11 ,1.0,4.4
388,DELL,DELL ,56990.0,256,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),Windows 11 ,1.0,4.2
389,ASUS,ASUS Zenbook Flip 13 OLED Touch Panel Intel EVO ,79990.0,512,8,LPDDR4X,13.3,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.3
390,MSI,MSI Modern 14 ,48790.0,512,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,3.3
391,Lenovo,Lenovo IdeaPad 3 ,33490.0,1000,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),Windows 11 ,3.0,4.4
392,MSI,MSI ,76990.0,512,8,DDR4,14.0,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.4
393,DELL,DELL Inspiron ,48890.0,512,8,DDR4,15.6,AMD Ryzen 5 Quad Core Processor,64 bit Windows 11 ,1.0,4.1
394,HP,HP Pavilion Gaming ,68990.0,512,8,DDR4,15.6,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.5
395,Lenovo,Lenovo Legion 5 ,133999.0,512,16,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
396,acer,acer Aspire 3 ,31990.0,512,4,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1.0,4.4
397,acer,acer ,62990.0,512,8,DDR4,15.6,Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1.0,4.1
398,Lenovo,Lenovo Yoga Slim 7 ,69990.0,512,8,LPDDR4X,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1.0,4.3
399,Lenovo,Lenovo IdeaPad ,45990.0,1000,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,3.5
400,DELL,DELL ,56290.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),Windows 11 ,1.0,4.3
401,Lenovo,Lenovo Ideapad Slim 3 ,35290.0,1000,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1.0,3.9
402,ASUS,ASUS ROG Flow Z13 (2022) ,191990.0,1000,16,LPDDR5,13.4,Intel Core i9 Processor (12th Gen),64 bit Windows 11 ,1.0,4.4
403,DELL,DELL Inspiron ,62990.0,256,16,DDR4,14.0,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
404,APPLE,APPLE MacBook Pro with Touch Bar ,180990.0,256,16,LPDDR4X,13.0,Intel Core i5 Processor (10th Gen),Mac OS ,1.0,4.2
405,HP,HP HP Envy ,89999.0,512,16,DDR4,13.3,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1.0,4.6
406,DELL,DELL ,39590.0,1000,8,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1.0,4.6
407,Lenovo,Lenovo IdeaPad 3 ,36990.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,4.4
408,ASUS,ASUS VivoBook Ultra 14 ,57990.0,128,8,DDR4,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,2.0,4.2
409,ASUS,ASUS ,54990.0,1000,8,DDR4,15.6,Intel Core i5 Processor (10th Gen),Windows 10 ,1.0,4.6
410,DELL,DELL Vostro ,59890.0,1000,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.3
411,Avita,Avita SATUS ULTIMUS S111 ,21490.0,512,4,DDR4,14.1,Intel Celeron Dual Core Processor,64 bit Windows 11 ,2.0,4.3
412,acer,acer Predator Helios 300 ,154990.0,512,16,DDR5,15.6,Intel Core i7 Processor (12th Gen),64 bit Windows 11 ,2.0,4.3
413,DELL,DELL Vostro ,44690.0,512,8,DDR4,14.0,Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1.0,4.3
414,DELL,DELL G15 ,87990.0,1000,16,DDR5,15.6,Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1.0,4.3
415,Lenovo,Lenovo IdeaPad 3 ,39490.0,1000,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.3
416,Lenovo,Lenovo Legion 5 ,70999.0,256,8,DDR4,15.6,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,2.0,4.3
417,ASUS,ASUS Vivobook Pro 15 OLED ,89990.0,512,16,DDR4,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1.0,4.3
418,MSI,MSI ,124990.0,512,16,DDR4,15.6,Intel Core i7 Processor (12th Gen),64 bit Windows 11 ,1.0,4.3
419,Lenovo,Lenovo IdeaPad 3 ,33490.0,1000,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),Windows 11 ,2.0,4.3
420,MSI,MSI Modern 14 ,80590.0,512,8,DDR4,14.0,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
421,MSI,MSI Prestige 15 ,113490.0,512,16,DDR4,15.6,Intel Core i7 Processor (10th Gen),64 bit Windows 10 ,1.0,4.3
422,DELL,DELL Vostro ,41990.0,1000,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
423,Lenovo,Lenovo IdeaPad ,37990.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.3
424,HP,HP Pavilion x360 ,49347.0,512,8,DDR4,14.0,Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1.0,4.3
425,ASUS,ASUS ROG Zephyrus G15 ,157990.0,512,16,DDR5,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1.0,4.3
426,Lenovo,Lenovo Ideapad Slim 3i (2021) ,36988.0,1000,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1.0,4.3
427,Lenovo,Lenovo Legion 5 ,133999.0,512,16,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
428,ASUS,ASUS ZenBook Duo 14 (2021) Touch Panel ,99990.0,512,8,LPDDR4X,14.0,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.3
429,ASUS,ASUS ROG Zephyrus ,154990.0,256,16,DDR4,16.0,Intel Core i7 Processor (11th Gen),Windows 10 ,1.0,4.3
430,Lenovo,Lenovo ,39990.0,256,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),Windows 11 ,1.0,4.3
431,Lenovo,Lenovo IdeaPad ,45990.0,256,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.3
